designation;categories;siret;adresse;adresse_courte;commune;code_postal;code_insee;web;telephone;email;media_social;latitude;longitude;association
ALLIANCE SUD EXPERTISE;Centre de diagnostic immobilier;;37 chemin Fournolis;;Tournefeuille;31170;;https://www.ase-toulouse.com/;05 61 86 36 93;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
AMSY;Gestion de societes civiles immobilieres;;23 rue du Languedoc;;Tournefeuille;31170;;;05 31 22 00 38;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ARCAM;Artiste peintre;;16 rue Louis Pasteur;;Tournefeuille;31170;;https://alexandramuratory.wixsite.com/arcam-muratory;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ARTHUR IMMO;Agence immobiliere;;35 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.tournefeuille-arthurimmo.com/;05 31 22 23 42;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ATOUT FLEURS;Fleuriste;;5 boulevard Vincnet Auriol;;Tournefeuille;31170;;https://www.atout-fleurs.com/;05 62 12 92 66;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
AU CRAPAUD SUR RESSORTS;Atelier de tapisserie d'ameublement;;29 chemin St Pierre;;Tournefeuille;31170;;http://www.au-crapaud-sur-ressorts.com/;07 85 73 75 09;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
AU RENDEZ VOUS DES EPICURIENS;Restaurant;;103 avenue Gaston Doumergue;;Tournefeuille;31170;;https://www.rdv-epicuriens.fr/;05 34 52 71 10;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
AXEO SERVICES;Services aux particuliers et aux professionnels;;108 avenue du Marquisat;;Tournefeuille;31170;;https://www.axeoservices.fr/product/search;05 31 22 00 21;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
AXXIOM;Menage et repassage a domicile;;8 boulevard Eugene Montel;;Tournefeuille;31170;;;05 34 59 88 30;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
BAGUETTE ET SUSHI;Cours de cuisine;;14 bis Chemin de Panegans;;Tournefeuille;31170;;https://www.baguetteetsushi.com/;06 22 27 26 43;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
BOULANGERIE LE COLIBRI;Artisan boulanger, patissier;;45 boulevard Vincent Auriol;;Tournefeuille;31170;;https://boulangerie-le-colibri.business.site/;05 61 86 56 83;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CABINET DERMATOLOGIE BALICA / DE ST PAUL;Dermatologie;;4 boulevard Jean Gay;;Tournefeuille;31170;;https://www.doctolib.fr/dermatologue/tournefeuille/stefana-balica;05 61 85 96 51;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CABINET D'ORTHODONTIE QUERALTO;Orthodontie;;4 boulevard Jean Gay;;Tournefeuille;31170;;http://www.dr-queralto-isabel.chirurgiens-dentists.fr/;05 61 51 05 10;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CALYPSO FLEURS;Fleuriste ;;64 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.calypsofleurs.com/;05 62 48 82 70;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CAMBORDE MELANIE;Medecin Generaliste;;22 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.docteur-camborde-tournefeuille.fr/;05 61 61 27 03;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CAPTAIN TORTUE;Vente a domicile pret a porter;;;;Tournefeuille;31170;;https://fr.captaintortue.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CEPAGE GOURMAND;Restaurant et caviste;;4 rue Hector Berlioz;;Tournefeuille;31170;;https://www.cepagegourmand.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CHANTAL MAS;Salon de coiffure;;6 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.cepagegourmand.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
